Core no. ,Sample,Shifted Depth,Depth,"Kg, hor.","1/Pm, hor.","Kl, hor","Kg, vert.","1/Pm, vert.","Kl, vert.","Por., hor.","Por., vert.",Por. sum.,So,Sw,Gr.dens.,Gr.dens.,Lithological description
1,44,3847.35,3845.75,123,0.936,110,56.6,0.855,49.4,22.6,  ,  ,  ,  ,2.63,  ,A.A. 
1,45,3847.51,3845.91,  ,  ,  ,  ,  ,  ,  ,19.8,  ,67.4,18.1,  ,2.66, 
1,46,3847.6,3846,30.4,0.766,26,  ,  ,  ,18.3,  ,  ,  ,  ,2.67,  ,"A.A.Fr-srt.incr Calc,Dol. "
1,47,3847.85,3846.25,1.06,0.495,0.725,  ,  ,  ,8.7,  ,  ,  ,  ,2.71,  ,A.A.Calc-sst.VW-cmt. 
1,48,3848.1,3846.5,17.8,0.746,14.8,5.7,0.495,4.7,15,  ,  ,  ,  ,2.68,  ,A.A.Sst. 
1,49,3848.35,3846.75,15.9,0.746,13.1,  ,  ,  ,16.9,  ,  ,  ,  ,2.72,  ,A.A.lt-Brn.incr Pyr.decr Dol. 
1,50,3848.53,3846.93,  ,  ,  ,  ,  ,  ,  ,23.5,  ,67.2,18.3,  ,2.64, 
1,51,3848.6,3847,140,0.936,126,  ,  ,  ,24,  ,  ,  ,  ,2.63,  ,A.A.W-cmt.decr Pyr. 
1,52,3848.85,3847.25,142,0.936,128,  ,  ,  ,24.4,  ,  ,  ,  ,2.62,  ,A.A. 
1,53,3849.1,3847.5,111,0.936,99.3,95.3,0.907,84.7,24.1,  ,  ,  ,  ,2.62,  ,A.A. 
1,54,3849.35,3847.75,157,0.936,142,  ,  ,  ,24.9,  ,  ,  ,  ,2.62,  ,A.A. 
1,55,3849.5,3847.9,  ,  ,  ,  ,  ,  ,  ,25,  ,68.1,15.3,  ,2.64, 
1,56,3849.6,3848,138,0.936,124,  ,  ,  ,24.6,  ,  ,  ,  ,2.64,  ,A.A.F/M-gr. 
1,57,3849.85,3848.25,57.2,0.855,50,  ,  ,  ,22.5,  ,  ,  ,  ,2.62,  ,A.A.W-srt. 
1,58,3850.1,3848.5,38,0.855,32.5,50.9,0.83,44.4,22,  ,  ,  ,  ,2.62,  ,A.A. 
1,59,3850.35,3848.75,61,0.88,53.3,  ,  ,  ,29.3,  ,  ,  ,  ,2.62,  ,A.A. 
1,60,3850.5,3848.9,  ,  ,  ,  ,  ,  ,  ,23.8,  ,58.5,22.4,  ,2.64, 
1,61,3850.6,3849,53.8,0.83,47.1,  ,  ,  ,23.8,  ,  ,  ,  ,2.64,  ,A.A. 
1,62,3850.8,3849.2,57.4,0.855,50.2,  ,  ,  ,23.2,  ,  ,  ,  ,2.64,  ,A.A. 
1,63,3851,3849.4,53.7,0.855,46.7,37.8,0.786,32.7,23.1,  ,  ,  ,  ,2.63,  ,A.A. 
1,64,3851.35,3849.75,44.8,0.855,38.6,  ,  ,  ,23.6,  ,  ,  ,  ,2.63,  ,A.A. 
1,65,3851.51,3849.91,  ,  ,  ,  ,  ,  ,  ,23.2,  ,57.2,26.6,  ,2.64, 
1,66,3851.6,3850,41.2,0.808,35.7,  ,  ,  ,23.9,  ,  ,  ,  ,2.66,  ,A.A.incr Pyr. 
1,67,3851.85,3850.25,104,0.907,93.2,  ,  ,  ,22.5,  ,  ,  ,  ,2.64,  ,A.A.decr Pyr. 
1,68,3852.1,3850.5,119,0.936,106,107,0.907,95.4,22,  ,  ,  ,  ,2.65,  ,A.A. 
1,69,3852.35,3850.75,127,0.936,114,  ,  ,  ,21.9,  ,  ,  ,  ,2.65,  ,A.A. 
1,70,3852.51,3850.91,  ,  ,  ,  ,  ,  ,  ,23.5,  ,62.4,20.9,  ,2.65, 
1,71,3852.6,3851,229,0.967,209,  ,  ,  ,25.1,  ,  ,  ,  ,2.65,  ,A.A. 
1,72,3853.05,3851.45,21.6,0.746,18.2,2.07,0.495,1.56,17.6,  ,  ,  ,  ,2.62,  ,A.A.Styl. 
1,73,3853.35,3851.75,NMP ,  ,NMP ,  ,  ,  ,14.7,  ,  ,  ,  ,2.66,  ,A.A.slty.fis.incr Pyr. 
1,74,3853.5,3851.9,  ,  ,  ,  ,  ,  ,  ,20.9,  ,53.1,29.8,  ,2.66, 
1,75,3853.6,3852,3.99,0.495,3.2,  ,  ,  ,16.1,  ,  ,  ,  ,2.68,  ,A.A.w/o fis. 
1,76,3853.8,3852.2,1.3,0.495,0.9,  ,  ,  ,9.2,  ,  ,  ,  ,2.71,  ,"A.A.w/o slty.incr Calc,Dol.decr Pyr. "
2,77,3854.2,3854,0.036,0.495,0.02,  ,  ,  ,4,  ,  ,  ,  ,2.74,  ,"Sst.Gry.F/M-gr.Sb-ang.VW-cmt.W-srt.mtrx.fis.w/Mic,Pyr,Calc,C"
2,78,3854.4,3854.2,0.026,0.495,0.014,  ,  ,  ,3.8,  ,  ,  ,  ,2.74,  ,"A.A.w/o fis.w/Dol,Sid,Cl. "
2,79,3854.6,3854.4,0.023,0.495,0.012,0.073,0.495,0.043,3.3,  ,  ,  ,  ,2.74,  ,A.A. 
2,80,3855,3854.8,NMP ,  ,NMP ,  ,  ,  ,7.3,  ,  ,  ,  ,2.78,  ,A.A.lt-Brn.W-cmt.Fr-srt.Styl.incr Pyr. 
2,81,3855.1,3854.9,  ,  ,  ,  ,  ,  ,  ,11.4,  ,33.8,45.8,  ,2.71, 
2,82,3855.2,3855,21.2,0.71,18,  ,  ,  ,19.7,  ,  ,  ,  ,2.69,  ,"A.A.w/o Styl.decr Pyr,Sid. "
2,83,3855.45,3855.25,29.9,0.786,25.5,  ,  ,  ,21.1,  ,  ,  ,  ,2.65,  ,A.A.Brn.W-srt.decr Dol. 
2,84,3855.7,3855.5,0.244,0.495,0.152,0.088,0.495,0.051,8.6,  ,  ,  ,  ,2.73,  ,"A.A.incr Pyr,Dol. "
2,85,3855.95,3855.75,0.022,0.495,0.012,  ,  ,  ,3.2,  ,  ,  ,  ,2.74,  ,A.A.lt-Brn.incr Calc. 
2,86,3856.06,3855.86,  ,  ,  ,  ,  ,  ,  ,2.7,  ,20.7,62.4,  ,2.76, 
