Core no. ,Sample,Shifted Depth,Depth,"Kg, hor.","1/Pm, hor.","Kl, hor","Kg, vert.","1/Pm, vert.","Kl, vert.","Por., hor.","Por., vert.",Por. sum.,So,Sw,Gr.dens.,Gr.dens.,Lithological description
3,195,3885.1,3884.5,68.6,0.88,60.3,88.3,0.907,78.2,21.4,  ,  ,  ,  ,2.67,  ,A.A.W-srt. 
3,196,3885.35,3884.75,103,0.907,92.2,  ,  ,  ,19.3,  ,  ,  ,  ,2.66,  ,A.A. 
3,197,3885.53,3884.93,  ,  ,  ,  ,  ,  ,  ,18.2,  ,59.6,23.6,  ,2.65, 
3,198,3885.6,3885,77.7,0.88,68.7,  ,  ,  ,19.2,  ,  ,  ,  ,2.65,  ,A.A.lt-Brn. 
3,199,3885.85,3885.25,69.2,0.88,60.8,  ,  ,  ,18.2,  ,  ,  ,  ,2.66,  ,A.A.Brn.P-srt. 
3,200,3886.15,3885.55,328,0.97,303,498,0.977,465,20.7,  ,  ,  ,  ,2.62,  ,A.A.incr C. 
3,201,3886.35,3885.75,511,0.979,479,  ,  ,  ,21.4,  ,  ,  ,  ,2.63,  ,A.A. 
3,202,3886.54,3885.94,  ,  ,  ,  ,  ,  ,  ,21.2,  ,68.8,18.1,  ,2.63, 
3,203,3886.6,3886,350,0.967,324,  ,  ,  ,21.1,  ,  ,  ,  ,2.63,  ,A.A. 
3,204,3886.85,3886.25,412,0.976,383,  ,  ,  ,21,  ,  ,  ,  ,2.63,  ,A.A. 
3,205,3887.1,3886.5,432,0.975,402,410,0.972,381,21.3,  ,  ,  ,  ,2.63,  ,A.A. 
3,206,3887.35,3886.75,57.7,0.88,50.3,  ,  ,  ,18.8,  ,  ,  ,  ,2.62,  ,A.A. 
3,207,3887.53,3886.93,  ,  ,  ,  ,  ,  ,  ,20.5,  ,55.6,22.3,  ,2.63, 
3,208,3887.6,3887,130,0.936,117,  ,  ,  ,20.7,  ,  ,  ,  ,2.62,  ,A.A. 
3,209,3887.85,3887.25,217,0.969,199,  ,  ,  ,21.7,  ,  ,  ,  ,2.63,  ,A.A. 
3,210,3888.15,3887.55,221,0.968,201,148,0.936,134,21.5,  ,  ,  ,  ,2.62,  ,A.A. 
3,211,3888.35,3887.75,170,0.936,154,  ,  ,  ,21.3,  ,  ,  ,  ,2.63,  ,A.A. 
3,212,3888.54,3887.94,  ,  ,  ,  ,  ,  ,  ,21.5,  ,67.4,20.1,  ,2.62, 
3,213,3888.6,3888,206,0.951,188,  ,  ,  ,21.4,  ,  ,  ,  ,2.63,  ,A.A.F/M-gr. 
3,214,3888.85,3888.25,177,0.969,160,  ,  ,  ,21.2,  ,  ,  ,  ,2.62,  ,A.A. 
3,215,3889.1,3888.5,109,0.907,97.8,132,0.936,119,20.9,  ,  ,  ,  ,2.62,  ,A.A.C-lam. 
3,216,3889.35,3888.75,40.9,0.83,35.2,  ,  ,  ,20.7,  ,  ,  ,  ,2.63,  ,A.A.w/o C-lam. 
3,217,3889.5,3888.9,  ,  ,  ,  ,  ,  ,  ,21.2,  ,64.5,26.1,  ,2.62, 
3,218,3889.6,3889,179,0.936,163,  ,  ,  ,22.2,  ,  ,  ,  ,2.64,  ,A.A.M-gr. 
3,219,3889.85,3889.25,94.5,0.907,84,  ,  ,  ,20.6,  ,  ,  ,  ,2.64,  ,A.A.F-gr. 
3,220,3890.15,3889.55,193,0.969,175,9.68,0.595,8.02,22.5,  ,  ,  ,  ,2.63,  ,A.A. 
3,221,3890.35,3889.75,146,0.936,132,  ,  ,  ,21.9,  ,  ,  ,  ,2.63,  ,A.A.F/M-gr. 
3,222,3890.52,3889.92,  ,  ,  ,  ,  ,  ,  ,22,  ,65.1,22.3,  ,2.63, 
3,223,3890.6,3890,84.3,0.88,74.8,  ,  ,  ,21.4,  ,  ,  ,  ,2.63,  ,A.A.Cl/Mic-lam. 
3,224,3890.85,3890.25,218,0.969,199,  ,  ,  ,23.2,  ,  ,  ,  ,2.63,  ,A.A.w/o Cl/Mic-lam. 
3,225,3891.1,3890.5,178,0.936,161,59.3,0.855,51.9,22.8,  ,  ,  ,  ,2.63,  ,A.A. 
3,226,3891.35,3890.75,94.5,0.907,84,  ,  ,  ,20.2,  ,  ,  ,  ,2.64,  ,A.A. 
3,227,3891.6,3891,1.89,0.495,1.34,  ,  ,  ,15.1,  ,  ,  ,  ,2.65,  ,A.A.F-gr.Styl. 
3,228,3891.85,3891.25,13,0.662,10.8,  ,  ,  ,18.8,  ,  ,  ,  ,2.64,  ,A.A. 
3,229,3892.15,3891.55,5.97,0.495,4.95,15.1,0.662,12.7,14.4,  ,  ,  ,  ,2.65,  ,A.A.slty.w/o Styl. 
3,230,3892.35,3891.75,87.3,0.907,77.3,  ,  ,  ,20.9,  ,  ,  ,  ,2.64,  ,A.A.M-gr.P-srt.fis. 
3,231,3892.51,3891.91,  ,  ,  ,  ,  ,  ,  ,20.2,  ,64.7,24.3,  ,2.65, 
3,232,3892.6,3892,75.9,0.88,67,  ,  ,  ,16.8,  ,  ,  ,  ,2.64,  ,"A.A.M/Crs-gr.w/o fis,slty. "
3,233,3892.85,3892.25,179,0.968,163,  ,  ,  ,22.2,  ,  ,  ,  ,2.64,  ,A.A.F/M-gr.Fr-srt. 
3,234,3893.1,3892.5,119,0.936,106,73.9,0.88,65.2,21.4,  ,  ,  ,  ,2.64,  ,A.A. 
3,235,3893.35,3892.75,184,0.968,167,  ,  ,  ,21.2,  ,  ,  ,  ,2.65,  ,A.A. 
3,236,3893.5,3892.9,  ,  ,  ,  ,  ,  ,  ,18.1,  ,69.1,21.8,  ,2.69, 
3,237,3893.6,3893,47.8,0.83,41.5,  ,  ,  ,15.3,  ,  ,  ,  ,2.67,  ,A.A.Gry.M-gr.incr Calc. 
3,238,3893.8,3893.2,124,0.936,111,  ,  ,  ,16.2,  ,  ,  ,  ,2.67,  ,A.A.lt-Brn.F/M-gr. 
3,239,3894.1,3893.5,132,0.936,118,95.3,0.907,84.7,21.8,  ,  ,  ,  ,2.64,  ,A.A.Brn.slty.decr Calc. 
3,240,3894.35,3893.75,1.32,0.495,0.915,  ,  ,  ,13.3,  ,  ,  ,  ,2.66,  ,A.A.F-gr.Styl.fis. 
3,241,3894.55,3893.95,  ,  ,  ,  ,  ,  ,  ,18.6,  ,42,37.1,  ,2.66, 
3,242,3894.6,3894,10.4,0.595,8.63,  ,  ,  ,18.8,  ,  ,  ,  ,2.65,  ,A.A.w/o fis. 
3,243,3894.85,3894.25,2.87,0.495,2.24,  ,  ,  ,15,  ,  ,  ,  ,2.62,  ,A.A.bed. 
3,244,3895.1,3894.5,71.8,0.88,63.2,  ,  ,  ,23.3,  ,  ,  ,  ,2.63,  ,"A.A.W-srt.w/o Styl,bed. "
3,245,3895.35,3894.75,85.6,0.907,75.7,  ,  ,  ,23.4,  ,  ,  ,  ,2.64,  ,A.A. 
3,246,3895.52,3894.92,  ,  ,  ,  ,  ,  ,  ,23.6,  ,61.1,27.2,  ,2.64, 
3,247,3895.6,3895,73.1,0.88,64.4,  ,  ,  ,31.3,  ,  ,  ,  ,2.64,  ,A.A. 
3,248,3895.85,3895.25,103,0.907,92,  ,  ,  ,23.4,  ,  ,  ,  ,2.64,  ,A.A. 
3,249,3896.15,3895.55,97.3,0.936,86.3,61.7,0.855,54.1,24.1,  ,  ,  ,  ,2.65,  ,A.A. 
3,250,3896.35,3895.75,107,0.907,95.5,  ,  ,  ,23.4,  ,  ,  ,  ,2.64,  ,A.A.Fr-srt. 
3,251,3896.52,3895.92,  ,  ,  ,  ,  ,  ,  ,18.7,  ,45.9,35.7,  ,2.62, 
3,252,3896.6,3896,40.1,0.808,34.6,  ,  ,  ,21.7,  ,  ,  ,  ,2.64,  ,A.A.Gry. 
3,253,3896.85,3896.25,104,0.907,93.2,  ,  ,  ,23,  ,  ,  ,  ,2.64,  ,A.A.lt-Brn. 
3,254,3897.1,3896.5,102,0.907,90.5,99.4,0.907,88.6,22.5,  ,  ,  ,  ,2.64,  ,A.A. 
3,255,3897.35,3896.75,67,0.88,58.8,  ,  ,  ,21.7,  ,  ,  ,  ,2.64,  ,A.A. 
3,256,3897.53,3896.93,  ,  ,  ,  ,  ,  ,  ,21,  ,58.4,22.5,  ,2.64, 
3,257,3897.6,3897,61.6,0.855,54.1,  ,  ,  ,21.6,  ,  ,  ,  ,2.65,  ,A.A.Gry. 
3,258,3897.85,3897.25,84.7,0.907,74.9,  ,  ,  ,21.1,  ,  ,  ,  ,2.64,  ,A.A.lt-Brn. 
3,259,3898.15,3897.55,62.3,0.88,54.4,42.9,0.83,37,19.7,  ,  ,  ,  ,2.65,  ,A.A. 
3,260,3898.35,3897.75,72.8,0.88,64.1,  ,  ,  ,17.4,  ,  ,  ,  ,2.68,  ,A.A.M/Crs-gr.P-srt.incr Pyr. 
3,261,3898.54,3897.94,  ,  ,  ,  ,  ,  ,  ,17.2,  ,68.3,22.7,  ,2.66, 
3,262,3898.6,3898,49,0.855,42.5,  ,  ,  ,17.5,  ,  ,  ,  ,2.66,  ,A.A.decr Pyr. 
3,263,3898.85,3898.25,162,0.936,147,  ,  ,  ,18.1,  ,  ,  ,  ,2.64,  ,A.A.M-gr.Fr-srt. 
3,264,3899.15,3898.55,92.2,0.907,81.8,  ,  ,  ,17.3,  ,  ,  ,  ,2.67,  ,A.A.F/M-gr.slty.incr Pyr. 
3,265,3899.6,3899,1590,0.994,1520,  ,  ,  ,21,  ,  ,  ,  ,2.63,  ,A.A.Brn.M-gr.w/o slty.incr C.decr Pyr. 
3,266,3899.85,3899.25,1580,0.992,1510,  ,  ,  ,20.9,  ,  ,  ,  ,2.63,  ,A.A. 
3,267,3900.15,3899.55,1570,0.992,1500,1440,0.991,1370,21.8,  ,  ,  ,  ,2.63,  ,A.A. 
3,268,3900.35,3899.75,2660,0.996,2570,  ,  ,  ,22.8,  ,  ,  ,  ,2.63,  ,A.A. 
3,269,3900.6,3900,1640,0.993,1570,  ,  ,  ,21.2,  ,  ,  ,  ,2.62,  ,A.A. 
3,270,3900.85,3900.25,1120,0.99,1070,  ,  ,  ,19.7,  ,  ,  ,  ,2.6,  ,A.A. 
3,271,3901.1,3900.5,1220,0.993,1160,1910,0.994,1830,29.9,  ,  ,  ,  ,2.63,  ,A.A. 
3,272,3901.35,3900.75,2780,0.996,2690,  ,  ,  ,20.6,  ,  ,  ,  ,2.63,  ,A.A. 
3,273,3901.5,3900.9,  ,  ,  ,  ,  ,  ,  ,19.3,  ,79.5,15,  ,2.63, 
3,274,3901.6,3901,1280,0.99,1220,  ,  ,  ,19.7,  ,  ,  ,  ,2.65,  ,"Sst.Brn.M/Crs-gr.Sb-ang.W-cmt.Fr-srt.Mtrx.w/Mic.ltl-Calc,Pyr"
3,275,3901.85,3901.25,473,0.978,442,  ,  ,  ,18.2,  ,  ,  ,  ,2.61,  ,"A.A.w/C,Cl.ltl-Pyr. "
3,276,3902.15,3901.55,1340,0.993,1280,270,0.967,248,20.3,  ,  ,  ,  ,2.63,  ,A.A. 
3,277,3902.35,3901.75,1510,0.992,1440,  ,  ,  ,20.9,  ,  ,  ,  ,2.62,  ,A.A. 
3,278,3902.53,3901.93,  ,  ,  ,  ,  ,  ,  ,19,  ,76.8,15.5,  ,2.62, 
3,279,3902.6,3902,464,0.977,433,  ,  ,  ,20.2,  ,  ,  ,  ,2.66,  ,A.A.F-gr.scat-M-gr.decr-Mic.ltl-C.scat-Calc. 
3,280,3902.85,3902.25,305,0.968,282,  ,  ,  ,19.6,  ,  ,  ,  ,2.62,  ,A.A.ltl-Mic.w/o Calc. 
3,281,3903.1,3902.5,239,0.969,219,803,0.985,759,26.3,  ,  ,  ,  ,2.64,  ,A.A.M/Crs-gr.Decr-Mic. 
3,282,3903.35,3902.75,273,0.969,251,  ,  ,  ,19.9,  ,  ,  ,  ,2.63,  ,A.A.w/o-M-gr.scat-Crs-gr.decr-C. 
3,283,3903.52,3902.92,  ,  ,  ,  ,  ,  ,  ,18.9,  ,67.3,23.5,  ,2.63, 
3,284,3903.6,3903,724,0.983,683,  ,  ,  ,18.3,  ,  ,  ,  ,2.63,  ,"Sst.Brn.M/Crs/VCrs-gr.Sb-ang.W-cmt.Fr-srt.ltl-C,Cl,Mic. "
3,285,3903.85,3903.25,244,0.969,223,  ,  ,  ,18.4,  ,  ,  ,  ,2.63,  ,"A.A.F-gr.scat-Crs/VCrs-gr.Fr/P-srt.Mtrx.incr-C,Cl,Mic. "
3,286,3904.15,3903.55,506,0.976,473,490,0.975,459,19.5,  ,  ,  ,  ,2.63,  ,A.A.F/M-gr.Fr-srt.decr-C. 
3,287,3904.35,3903.75,524,0.979,491,  ,  ,  ,19.3,  ,  ,  ,  ,2.63,  ,A.A. 
3,288,3904.53,3903.93,  ,  ,  ,  ,  ,  ,  ,19.3,  ,68.2,23.4,  ,2.63, 
3,289,3904.6,3904,346,0.967,320,  ,  ,  ,19.5,  ,  ,  ,  ,2.65,  ,"A.A.W-srt.w/o-C.decr-Cl,Mic.ltl-Calc. "
3,290,3904.85,3904.25,1200,0.99,1140,  ,  ,  ,20.1,  ,  ,  ,  ,2.63,  ,A.A.M-gr.ltl-C.w/o-Calc. 
3,291,3905.1,3904.5,743,0.985,702,742,0.984,700,19.6,  ,  ,  ,  ,2.63,  ,A.A.incr-Mtrx. 
3,292,3905.35,3904.75,1130,0.99,1070,  ,  ,  ,19.2,  ,  ,  ,  ,2.62,  ,A.A.incr-Cl. 
3,293,3905.53,3904.93,  ,  ,  ,  ,  ,  ,  ,17.9,  ,70.9,20.6,  ,2.62, 
3,294,3905.6,3905,170,0.936,154,  ,  ,  ,17.8,  ,  ,  ,  ,2.64,  ,"A.A.F/M-gr.scat-Crs-gr.Fr-srt.decr- Mtrx,C. "
3,295,3905.85,3905.25,214,0.967,196,  ,  ,  ,18.1,  ,  ,  ,  ,2.62,  ,A.A.incr-Mtrx. 
3,296,3906.15,3905.55,253,0.967,232,162,0.951,147,18.9,  ,  ,  ,  ,2.62,  ,"Sst.Brn.F/M-gr.Sb-ang.W-cmt.W-srt.Mtrx.ltl-C,Cl,Mic. "
3,297,3906.35,3905.75,648,0.983,610,  ,  ,  ,19.3,  ,  ,  ,  ,2.62,  ,A.A.M-gr. 
3,298,3906.52,3905.92,  ,  ,  ,  ,  ,  ,  ,15.7,  ,46.9,35.4,  ,2.63, 
3,299,3906.6,3906,157,0.936,143,  ,  ,  ,19.7,  ,  ,  ,  ,2.65,  ,A.A.F-gr.scat-Pyr. 
3,300,3906.8,3906.2,NMP ,  ,NMP ,  ,  ,  ,15.7,  ,  ,  ,  ,2.62,  ,A.A.F-gr.scat-Crs-gr.W/Fr-srt.Frac.C/Cl/Mic-lam. 
3,301,3907.1,3906.5,69.8,0.88,61.4,84.1,0.88,74.6,18.6,  ,  ,  ,  ,2.64,  , 
3,302,3907.35,3906.75,392,0.978,365,  ,  ,  ,27.7,  ,  ,  ,  ,2.64,  ,"Sst.Brn.F/M-gr.scat-Crs-gr.Sb-ang.W-cmt.Fr-srt.Mtrx.ltl-C,Cl"
3,303,3907.85,3907.25,2050,0.995,1970,  ,  ,  ,19.9,  ,  ,  ,  ,2.64,  ,A.A.M/Crs-gr.W/Fr-srt.w/o-C.Ltl-Mic 
3,304,3908.1,3907.5,0.921,0.495,0.623,  ,  ,  ,11.4,  ,  ,  ,  ,2.69,  ,A.A.Vf/F-gr.Slty.Cl/Mic-lam.Ltl-Sid. 
3,305,3908.5,3907.9,NMP ,  ,NMP ,  ,  ,  ,15.5,  ,  ,  ,  ,2.64,  ,"A.A.Frac.Scs-Calc,C.w/o-Sid. "
3,306,3908.85,3908.25,52.7,0.855,45.9,  ,  ,  ,22.5,  ,  ,  ,  ,2.63,  ,"A.A.F-gr.W-srt.w/o-Frac,Slty,lam.Ltl-Cl,Mic. "
4,307,3909.1,3908.5,220,0.967,201,  ,  ,  ,24.4,  ,  ,  ,  ,2.65,  ,A.A.lt-Gry.incr Mic. 
4,308,3909.17,3908.57,  ,  ,  ,  ,  ,  ,  ,23.7,  ,62.3,27.3,  ,2.63, 
4,309,3909.6,3909,179,0.936,163,  ,  ,  ,24,  ,  ,  ,  ,2.64,  ,A.A. 
4,310,3909.85,3909.25,163,0.936,148,  ,  ,  ,23.5,  ,  ,  ,  ,2.63,  ,A.A.decr Mic. 
4,311,3910.15,3909.55,175,0.936,159,152,0.936,137,23.5,  ,  ,  ,  ,2.63,  ,A.A. 
4,312,3910.35,3909.75,158,0.936,143,  ,  ,  ,23.2,  ,  ,  ,  ,2.63,  ,A.A. 
4,313,3910.52,3909.92,  ,  ,  ,  ,  ,  ,  ,24.3,  ,64.1,23.1,  ,2.64, 
4,314,3910.6,3910,213,0.967,194,  ,  ,  ,24.5,  ,  ,  ,  ,2.64,  ,A.A.incr Mic. 
4,315,3910.85,3910.25,228,0.967,208,  ,  ,  ,23.8,  ,  ,  ,  ,2.63,  ,A.A.decr Mic. 
4,316,3911.1,3910.5,261,0.967,239,238,0.967,218,24.4,  ,  ,  ,  ,2.64,  ,A.A.incr Mic. 
4,317,3911.35,3910.75,219,0.967,200,  ,  ,  ,24.1,  ,  ,  ,  ,2.64,  ,A.A. 
4,318,3911.51,3910.91,  ,  ,  ,  ,  ,  ,  ,24.3,  ,66.4,23.5,  ,2.64, 
4,319,3911.6,3911,243,0.967,223,  ,  ,  ,24.9,  ,  ,  ,  ,2.64,  ,A.A. 
4,320,3911.85,3911.25,100,0.907,89.1,  ,  ,  ,22.2,  ,  ,  ,  ,2.64,  ,A.A. 
4,321,3912.15,3911.55,91.5,0.907,81.2,75.4,0.88,66.6,22,  ,  ,  ,  ,2.64,  ,A.A. 
4,322,3912.35,3911.75,274,0.967,252,  ,  ,  ,24.3,  ,  ,  ,  ,2.65,  ,"Sst.lt-Gry.F-gr.Sbang.W/Fr-cmt.W-srt.Ltl-Mtrx,Mic,Ci.Scs-Pyr"
4,323,3912.52,3911.92,  ,  ,  ,  ,  ,  ,  ,24.1,  ,68.7,20.7,  ,2.64, 
4,324,3912.6,3912,262,0.967,241,  ,  ,  ,24,  ,  ,  ,  ,2.64,  ,"A.A.,decr-Mtrx. "
4,325,3912.85,3912.25,323,0.967,299,  ,  ,  ,24.7,  ,  ,  ,  ,2.66,  ,A.A.incr-Mic. 
4,326,3913.1,3912.5,266,0.967,244,185,0.936,168,22.8,  ,  ,  ,  ,2.68,  ,A.A.scat-Pyr. 
4,327,3913.35,3912.75,218,0.967,199,  ,  ,  ,21.4,  ,  ,  ,  ,2.68,  ,A.A.W-cmt. 
4,328,3913.53,3912.93,  ,  ,  ,  ,  ,  ,  ,21.2,  ,73.1,19.1,  ,2.67, 
4,329,3913.6,3913,221,0.967,202,  ,  ,  ,21,  ,  ,  ,  ,2.66,  ,A.A. 
4,330,3913.85,3913.25,261,0.967,240,  ,  ,  ,21.7,  ,  ,  ,  ,2.66,  ,A.A. 
4,331,3914.2,3913.6,76.9,0.88,67.9,75.3,0.88,66.4,20.4,  ,  ,  ,  ,2.67,  ,A.A.VF/F-gr 
4,332,3914.4,3913.8,63.6,0.88,55.7,  ,  ,  ,20.4,  ,  ,  ,  ,2.67,  ,A.A.decr-Pyr.scs-Sid. 
4,333,3914.5,3913.9,  ,  ,  ,  ,  ,  ,  ,20.8,  ,59.9,28.5,  ,2.67, 
4,334,3914.6,3914,41.7,0.808,36.1,  ,  ,  ,19.4,  ,  ,  ,  ,2.66,  ,A.A. 
4,335,3914.85,3914.25,59.9,0.88,52.3,  ,  ,  ,20.8,  ,  ,  ,  ,2.66,  ,A.A.Incr-Pyr.w/o-Sid. 
4,336,3915.15,3914.55,85.1,0.907,75.3,51.2,0.83,44.7,21.4,  ,  ,  ,  ,2.66,  ,A.A. 
4,337,3915.35,3914.75,101,0.907,90.3,  ,  ,  ,22.3,  ,  ,  ,  ,2.66,  ,A.A. 
4,338,3915.51,3914.91,  ,  ,  ,  ,  ,  ,  ,22.3,  ,61.3,26.8,  ,2.66, 
4,339,3915.6,3915,129,0.936,116,  ,  ,  ,22.8,  ,  ,  ,  ,2.65,  ,A.A.scs-C. 
4,340,3916.05,3915.45,NMP ,  ,NMP ,  ,  ,  ,19.7,  ,  ,  ,  ,2.67,  ,A.A.Frac.scs-Sid. 
4,341,3916.3,3915.7,139,0.936,125,  ,  ,  ,23.2,  ,  ,  ,  ,2.66,  ,"A.A.w/o-Frac,C,Sid.decr-Pyr. "
4,342,3916.6,3916,306,0.967,282,  ,  ,  ,25.5,  ,  ,  ,  ,2.69,  ,A.A.W/Fr-cmt.scat-Pyr. 
4,343,3916.8,3916.2,248,0.967,227,  ,  ,  ,24.4,  ,  ,  ,  ,2.67,  ,A.A.decr-Pyr. 
4,344,3917,3916.4,238,0.967,218,169,0.936,153,24.2,  ,  ,  ,  ,2.67,  ,A.A. 
4,345,3917.35,3916.75,181,0.936,165,  ,  ,  ,24.4,  ,  ,  ,  ,2.68,  ,A.A.incr-Mic. 
4,346,3917.5,3916.9,  ,  ,  ,  ,  ,  ,  ,24,  ,62.4,24,  ,2.66, 
4,347,3917.6,3917,243,0.967,223,  ,  ,  ,24,  ,  ,  ,  ,2.65,  ,"Sst.lt-gry.F-gr.Sb-ang.W/Fr-cmt.W-srt.ltl-Cl,Mic.Scat-Pyr. "
4,348,3917.85,3917.25,49.6,0.855,43.1,  ,  ,  ,20.2,  ,  ,  ,  ,2.66,  ,A.A.VF/F-gr.W-cmt.ltl-Mtrx.scs-Sid. 
4,349,3918.1,3917.5,39.8,0.83,34.3,39,0.808,33.6,24.2,  ,  ,  ,  ,2.65,  ,A.A.F-gr. 
4,350,3918.35,3917.75,66.1,0.88,58,  ,  ,  ,21.8,  ,  ,  ,  ,2.66,  ,A.A.scs-Pyr. 
4,351,3918.49,3917.89,  ,  ,  ,  ,  ,  ,  ,21.4,  ,51.1,34.6,  ,2.66, 
4,352,3918.6,3918,63.3,0.855,55.6,  ,  ,  ,20.8,  ,  ,  ,  ,2.67,  ,A.A.F-gr.w/o-Sid.incr-Pyr. 
4,353,3918.85,3918.25,23.6,0.746,20,  ,  ,  ,17.3,  ,  ,  ,  ,2.68,  ,"A.A.VF/F-gr.scat-M-gr,Pyr. "
4,354,3919.1,3918.5,67.5,0.88,59.2,59.1,0.855,51.7,21.2,  ,  ,  ,  ,2.68,  ,A.A.w/o-M-gr. 
4,355,3919.35,3918.75,8.11,0.595,6.63,  ,  ,  ,15.6,  ,  ,  ,  ,2.75,  ,A.A.lt-Gry/Gry.w/o-Mtrx.Cl/Mic-lam.incr-Pyr. 
4,356,3919.52,3918.92,  ,  ,  ,  ,  ,  ,  ,16.9,  ,45.5,38.8,  ,2.81, 
4,357,3920.05,3919.45,1.46,0.495,1.02,0.195,0.495,0.12,4.3,  ,  ,  ,  ,2.58,  ,"A.A.Gry.VW-cmt.Mott.Fis.w/o-lam,Pyr.w/Cl.incr-Mic.ltl-C. "
4,358,3920.3,3919.7,NMP ,  ,NMP ,  ,  ,  ,3.9,  ,  ,  ,  ,2.62,  ,"A.A.w/o-Mott,Fis.Silt.Frac.decr-C,Cl,Mic.scs-Pyr. "
4,359,3920.6,3920,1.89,0.495,1.33,  ,  ,  ,5.3,  ,  ,  ,  ,2.64,  ,A.A.w/o-Frac.Fis.decr-Silt.scs-C. 
4,360,3920.8,3920.2,3.17,0.495,2.49,  ,  ,  ,4.6,  ,  ,  ,  ,2.63,  ,"Sst.Gry.F-gr.Sb-ang.VW-cmt.W-srt.Silt,Fis.w/Cl.ltl-Mic.Scs-C"
4,361,3921.15,3920.55,NMP ,  ,NMP ,0.275,0.495,0.173,8.6,  ,  ,  ,  ,2.64,  , 
4,362,3921.35,3920.75,1.56,0.495,1.09,  ,  ,  ,5.1,  ,  ,  ,  ,2.64,  ,A.A.VF/F-gr.w/o-C. 
4,363,3921.5,3920.9,  ,  ,  ,  ,  ,  ,  ,4.4,  ,5.7,78.9,  ,2.67, 
4,364,3921.6,3921,0.053,0.495,0.03,  ,  ,  ,4.6,  ,  ,  ,  ,2.66,  ,A.A.VF-gr.scat-F-grw/o-Fis.decr-Silt..scat-Pyr. 
4,365,3921.85,3921.25,1.07,0.495,0.733,  ,  ,  ,3.8,  ,  ,  ,  ,2.67,  ,A.A.VF/F-gr.incr-Pyr.Scat-C. 
4,366,3922.1,3921.5,1.23,0.495,0.846,0.365,0.495,0.233,4.3,  ,  ,  ,  ,2.65,  ,"A.A.decr-C,Pyr. "
4,367,3922.35,3921.75,3.38,0.495,2.67,  ,  ,  ,13.2,  ,  ,  ,  ,2.67,  ,A.A.lt-Gry/Gry.F-gr.w/o-Silt.Ltl-Cl. 
4,368,3922.49,3921.89,  ,  ,  ,  ,  ,  ,  ,15.1,  ,0,83.7,  ,2.67, 
4,369,3922.6,3922,1.49,0.495,1.04,  ,  ,  ,4.7,  ,  ,  ,  ,2.63,  ,A.A.VF/F-gr.ltl-Silt.incr-Cl. 
4,370,3923.05,3922.45,NMP ,  ,NMP ,NMP ,  ,NMP ,6.5,  ,  ,  ,  ,2.64,  ,A.A.Gry.Frac.incr-Silt.w/Cl. 
4,371,3923.3,3922.7,0.38,0.495,0.244,  ,  ,  ,5.6,  ,  ,  ,  ,2.65,  ,A.A.w/o-Frac. 
4,372,3923.47,3922.87,  ,  ,  ,  ,  ,  ,  ,6.7,  ,0,75.4,  ,2.71, 
4,373,3923.6,3923,0.1,0.495,0.059,  ,  ,  ,3.9,  ,  ,  ,  ,2.64,  ,A.A.VF-gr.w/o-Pyr. 
4,374,3923.85,3923.25,1.17,0.495,0.8,  ,  ,  ,6.7,  ,  ,  ,  ,2.66,  ,"Sst.lt-gry.VF-gr.Sb-ang.VW-cmt.W-srt.Scs-Cl,Mic. "
4,375,3924.1,3923.5,NMP ,  ,NMP ,1.04,0.495,0.708,6.6,  ,  ,  ,  ,2.64,  ,Sst.lt-Gry/Gry.VF/F-gr.VW-cmt.W-srt.Frac.Mtrx.w/Cl.Ltl-Mic. 
4,376,3924.49,3923.89,  ,  ,  ,  ,  ,  ,  ,12.3,  ,0,79.9,  ,2.67, 
4,377,3924.6,3924,0.127,0.495,0.077,  ,  ,  ,7.8,  ,  ,  ,  ,2.65,  ,A.A.F-gr.Sb-ang.ltl-Cl.scat-Pyr 
4,378,3924.8,3924.2,0.655,0.495,0.434,  ,  ,  ,11.9,  ,  ,  ,  ,2.65,  ,A.A.VW/W-cmt.decr-Pyr. 
4,379,3925,3924.4,8.77,0.595,7.22,  ,  ,  ,14.5,  ,  ,  ,  ,2.65,  ,"A.A.lt-Gry.VW-cmt.decr-Mtrx,Cl,Mic.Scs-C,Pyr. "
4,380,3925.7,3925.1,0.312,0.495,0.198,  ,  ,  ,9.1,  ,  ,  ,  ,2.66,  ,A.A.incr-Cl.scat-Pyr.w/o-C: 
4,381,3925.9,3925.3,NMP ,  ,NMP ,0.124,0.495,0.075,4.6,  ,  ,  ,  ,2.64,  ,A.A.Gry.Frac.Silt.w/Cl.incr-Mic.w/o-Pyr.scs-C. 
4,382,3926.1,3925.5,NMP ,  ,NMP ,  ,  ,  ,3.6,  ,  ,  ,  ,2.67,  ,A.A.Scat-Pyr. 
4,383,3926.35,3925.75,NMP ,  ,NMP ,  ,  ,  ,3.9,  ,  ,  ,  ,2.54,  ,"A.A.w/o-Mtrx,Pyr.incr-silt.Wd.ltl-C. "
4,384,3926.5,3925.9,  ,  ,  ,  ,  ,  ,  ,9.4,  ,0,90.8,  ,2.65, 
4,385,3926.6,3926,6,0.495,4.97,  ,  ,  ,9.6,  ,  ,  ,  ,2.67,  ,"Sst.lt-Gry.VF-gr.VW/W-cmt.W-srt.ltl-Mtrx,Cl,Mic.Scat-Pyr. "
